Datetime,Text
2019-01-01 19:40:51+00:00,Microsoft Corporation (NASDAQ:MSFT) – Hot Stock of the Day https://t.co/s1B9r3riQr $MSFT #stocks #stockmarket
2019-01-02 19:57:01+00:00,"Interestingly, none of the #FANG #FAANG stocks were up for all of the past five years (2014-2018).

However, you know what stock *was* up for every one one of those years?

Microsoft!

2014 +24%
2015 +19%
2016 +12%
2017 +38%
2018 +19%

$MSFT"
2019-01-02 13:28:54+00:00,"Dianne Feinstein’s Husband Sold Stock in Apple, Facebook, Microsoft, and Google - Barrons

$AAPL $FB $MSFT $GOOGL

https://t.co/G7Skrz203e"
2019-01-02 11:24:46+00:00,"As Microsoft Corp $MSFT Stock Declined, Shareholder Locust Wood Capital Advisers LLC Has Lifted Its Holding - https://t.co/cLTqKNzbLb"
2019-01-02 11:24:29+00:00,Microsoft Corp $MSFT Holder Locust Wood Capital Advisers LLC Raised Its Position by $56.08 Million as Stock Declined - https://t.co/ZQRVlBGHEL
2019-01-03 18:00:51+00:00,Microsoft: Aktuelle Social Media Stimmungsanalyse https://t.co/9Z07tBLU5a #stock #analysis #boerse $MSFT
2019-01-03 17:06:27+00:00,"$MSFT  Microsoft Stock Is Finally a Short

https://t.co/PAPrUyzck1"
2019-01-03 11:35:55+00:00,Ngam Advisors LP Raised Its Position in Microsoft Corp $MSFT as Stock Value Declined - https://t.co/VmDwj2daUD
2019-01-03 11:35:13+00:00,Ngam Advisors LP Has Raised Its Microsoft Corp $MSFT Stake by $12.16 Million; Stock Price Declined https://t.co/LtEQMUloAU
2019-01-04 17:50:04+00:00,"Stock Alert For MSFT - Microsoft Corporation
Alert Type: Daily Percent Price Change
Value Hit: 5.03%

#dividend #stocks $MSFT
Visit Custom Stock Alerts https://t.co/Oh8lrY1YRH"
2019-01-04 15:08:38+00:00,"Microsoft is probably the only tech stock I’ll own in 2019. Apple is horrible. Alphabet is okay (but no dividend). Intel, Nvidia, and AMD look bad. I don’t know. Some of the other cloud plays might be decent.

$MSFT $AAPL $GOOGL $INTC $NVDA $AMD"
